"line_value","X","Y","distance_to_grid"
1,102.3369206,6.1009529,442249.799471294
1,102.3469206,6.1009529,443049.416425115
1,116.2169206,6.1009529,289261.226144605
1,116.2269206,6.1009529,289002.038505856
1,125.0869206,6.1009529,493420.021941971
1,100.3569206,6.0909529,307975.280193009
1,100.4969206,6.0909529,321852.368625662
1,100.5069206,6.0909529,322849.226351299
1,101.8969206,6.0909529,407663.135309002
1,101.9069206,6.0909529,408398.20655235
1,102.0969206,6.0909529,422673.714366525
1,102.1069206,6.0909529,423440.721847913
1,102.2569206,6.0909529,435122.239700442
1,102.2669206,6.0909529,435912.41075243
1,102.2969206,6.0909529,438291.184929872
1,102.3469206,6.0909529,442282.900205376
1,116.1569206,6.0909529,289825.899793777
1,116.2169206,6.0909529,288180.867296224
1,125.0769206,6.0909529,492306.063525158
1,125.0869206,6.0909529,492308.075757322
1,100.3569206,6.0809529,307473.134379771
1,100.5069206,6.0809529,322370.502390641
1,100.5169206,6.0809529,323369.568934814
1,101.9069206,6.0809529,407568.997825463
1,102.0969206,6.0809529,421872.788291855
1,102.2469206,6.0809529,433554.254543378
1,102.2569206,6.0809529,434344.463779214
1,102.2669206,6.0809529,435136.059730699
1,102.2769206,6.0809529,435929.03484333
1,102.2969206,6.0809529,437519.092542648
1,102.3469206,6.0809529,441517.851297726
1,102.3569206,6.0809529,442321.592717598
1,116.1369206,6.0809529,289334.213255898
1,116.1569206,6.0809529,288751.962000912
1,116.1669206,6.0809529,288466.778498827
1,116.2069206,6.0809529,287365.931943323
1,116.2169206,6.0809529,287100.749521476
1,125.0769206,6.0809529,491194.112778636
1,100.3569206,6.0709529,306974.192497824
1,100.5169206,6.0709529,322895.460313023
1,101.9069206,6.0709529,406741.13663478
1,101.9169206,6.0709529,407480.907722625
1,102.0969206,6.0709529,421073.273092751
1,102.2469206,6.0709529,432776.502865285
1,102.2669206,6.0709529,434361.165394807
1,102.2769206,6.0709529,435155.565132359
1,102.2969206,6.0709529,436748.463928876
1,102.3569206,6.0709529,441559.42136667
1,116.1269206,6.0709529,288560.893710904
1,116.1369206,6.0709529,288262.742098592
1,116.1669206,6.0709529,287392.059357289
1,116.1769206,6.0709529,287109.795859349
1,116.1869206,6.0709529,286831.534134084
1,116.1969206,6.0709529,286557.28583933
1,116.2069206,6.0709529,286287.062509127
1,125.0769206,6.0709529,490082.162033316
1,100.3569206,6.0609529,306478.470195017
1,100.3669206,6.0609529,307469.437773963
1,100.5269206,6.0609529,323427.209299529
1,101.9169206,6.0609529,406655.917552364
1,102.0969206,6.0609529,420275.176821212
1,102.1069206,6.0609529,421046.590220674
1,102.2369206,6.0609529,431208.528042586
1,102.2469206,6.0609529,432000.21082774
1,102.2769206,6.0609529,434383.562296066
